Id,Venue,Latitude,Longitude,Category Tags,Featured
21st-amendment-bar,21st Amendment Bar,29.9547,-90.0672,Craft Cocktails; Live Music; Historic Bar; Tourist Behavior,FALSE
acme-oyster-house,Acme Oyster House,29.9543,-90.0689,Seafood; Historic Restaurant; Tourist Essential; Local Institution,FALSE
all-eyes-on-gaza-mural,All Eyes on Gaza Mural,29.9634,-90.057,Culture; Resistance Landmark,FALSE
allways-lounge-cabaret,AllWays Lounge & Cabaret,29.9655,-90.0534,Live Music; Alternative; LGBTQ+; Underground,FALSE
anna-s,Anna's,29.9658,-90.0528,Craft Cocktails; Dive Bar Adjacent; Local Institution; Underground,FALSE
antoine-s-restaurant,Antoine's Restaurant,29.9566,-90.0667,Grand Dame; Historic Restaurant; Fine Dining; Old New Orleans,FALSE
apple-barrel,Apple Barrel,29.9629,-90.0576,Dive Bar; Live Music; Underground; Late Night,FALSE
arcadian-books-prints,Arcadian Books & Prints,29.9583,-90.0649,Shopping; Hidden Gem; Weird,FALSE
arnaud-s,Arnaud's,29.9559,-90.0685,Grand Dame; Historic Restaurant; Fine Dining; Cocktail History,FALSE
aunt-tiki-s,Aunt Tiki's,29.9613,-90.0596,Dive Bar; Underground; Open After 2AM,FALSE
b-mac-s,B Mac's,29.9568,-90.0678,Dive Bar; Hidden Gem; Local Institution,FALSE
backstreet-cultural-museum,Backstreet Cultural Museum,29.9654,-90.0647,Culture; Hidden Gem; Local Institution,FALSE
balcony-music-club-bmc,Balcony Music Club (BMC),29.9621,-90.0583,Live Music; Tourist Behavior; Late Night,FALSE
bamboula-s,Bamboula's,29.9621,-90.0581,Live Music; Jazz Essential; Tourist Behavior; Casual Dining,FALSE
bar-tonique,Bar Tonique,29.9618,-90.0694,Craft Cocktails; Local Institution; Hidden Gem,FALSE
barrister-s-gallery,Barrister's Gallery,29.961,-90.0632,Shopping; Culture; Hidden Gem,FALSE
beachbum-berry-s-latitude-29,Beachbum Berry's Latitude 29,29.9554,-90.0673,Craft Cocktails; Tourist Behavior,FALSE
beauregard-keyes-house,Beauregard-Keyes House,29.9611,-90.06,Historic Site; Haunted; Culture,FALSE
beckham-s-bookshop,Beckham's Bookshop,29.9588,-90.0646,Shopping; Culture; Hidden Gem,FALSE
black-penny,Black Penny,29.9619,-90.0696,Craft Cocktails; Dive Bar; Local Institution,FALSE
blue-nile,Blue Nile,29.9627,-90.0578,Live Music; Late Night; Culture,FALSE
boutique-du-vampyre,Boutique du Vampyre,29.9594,-90.0632,Occult; Gothic; Tourist Behavior,FALSE
brennan-s,Brennan's,29.9564,-90.0664,Grand Dame; Fine Dining; Historic Restaurant,FALSE
buffa-s-bar-restaurant,Buffa's Bar & Restaurant,29.9657,-90.0616,Live Music; Local Institution; Dive Bar; Late Night Food,FALSE
cabildo,Cabildo,29.9577,-90.0633,Historic Site; Culture; First Timer Essential,FALSE
cafe-beignet-royal-st,Cafe Beignet (Royal St),29.956,-90.0667,Tourist Essential; Historic Site; Culture,FALSE
cafe-lafitte-in-exile,Cafe Lafitte in Exile,29.9604,-90.0645,Dive Bar; LGBTQ+; Historic Bar; 24 Hours,FALSE
cafe-negril,Cafe Negril,29.9631,-90.0573,Live Music; Late Night,FALSE
caf-du-monde,Café du Monde,29.9575,-90.0618,First Timer Essential; Local Institution; Historic Site; 24 Hours; Cheap Eats,FALSE
cane-and-table,Cane and Table,29.9606,-90.061,Craft Cocktails; Fine Dining; Hidden Gem,FALSE
carousel-bar-lounge,Carousel Bar & Lounge,29.9538,-90.0678,Historic Bar; Tourist Essential; Craft Cocktails,FALSE
clover-grill,Clover Grill,29.9595,-90.0642,24 Hours; Dive Bar Adjacent; LGBTQ+; Late Night Food,FALSE
congo-square,Congo Square,29.9625,-90.0675,Historic Site; Culture; Authentic Cultural Practice,FALSE
cosimo-s,Cosimo's,29.9631,-90.0637,Dive Bar; Local Institution; Hidden Gem,FALSE
croissant-d-or-patisserie,Croissant d'Or Patisserie,29.9609,-90.0617,Historic Site; Hidden Gem; Rainy Day Option,FALSE
cure,Cure,29.9367,-90.1039,Craft Cocktails; Fine Dining,FALSE
degas-house,Degas House,29.9675,-90.0764,Historic Site; Culture; Hidden Gem,FALSE
deja-vu-bar-grill,Deja Vu Bar & Grill,29.9572,-90.0688,Dive Bar; 24 Hours; Late Night Food,FALSE
envie-espresso-bar-cafe,Envie Espresso Bar & Cafe,29.961,-90.0602,Local Institution; Late Night Food; Dive Bar Adjacent,FALSE
erin-rose,Erin Rose,29.9582,-90.0674,Dive Bar; Local Institution; Late Night,FALSE
erzulie-s-authentic-voodoo,Erzulie's Authentic Voodoo,29.96,-90.0636,Occult; Local Institution,FALSE
factory-of-weird,Factory of Weird,29.9608,-90.0601,Shopping; Alternative; Weird,FALSE
faulkner-house-books,Faulkner House Books,29.9572,-90.0638,Shopping; Culture; First Timer Essential,FALSE
fleur-de-paris,Fleur de Paris,29.9585,-90.0638,Shopping; Hidden Gem,FALSE
fleurty-girl,Fleurty Girl,29.9587,-90.0649,Shopping; Tourist Behavior,FALSE
forever-new-orleans,Forever New Orleans,29.9575,-90.0642,Shopping; Tourist Behavior,FALSE
